 ;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73
k;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
l;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;10;1;1;1;1;1;1;1;1;1;1;1;1;1;24;1;1;TOKEN 6;1;1;30;1;1;1;1;1;36;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
m;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
n;1;1;TOKEN 1;6;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;60;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
o;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;21;1;1;1;1;1;TOKEN 6;1;1;1;1;1;33;1;1;1;37;1;1;1;41;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
p;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
r;55;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;19;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;34;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;59;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
s;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;11;1;1;1;15;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
t;1;1;TOKEN 1;1;1;TOKEN 5;7;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;39;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;57;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
u;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;22;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;58;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
v;40;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
w;27;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
x;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
y;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
z;1;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
0;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
1;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
2;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
3;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
4;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
5;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
6;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
7;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
8;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
9;70;1;TOKEN 1;1;1;TOKEN 5;1;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;47;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;70;72;72;TOKEN 2
+;44;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
-;71;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
*;44;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;47;48;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
/;46;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;49;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
<;44;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
>;44;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
=' (igual);50;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;51;ERRO;53;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
!;52;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
{;62;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
};64;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
(;66;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
);68;ERRO;TOKEN 1;1;ERRO;TOKEN 5;ERRO;1;TOKEN 4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TOKEN 6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ERRO;TOKEN 7;ERRO;ERRO;ERRO;TOKEN 3;ERRO;ERRO;ERRO;ERRO;;1;1;1;1;1;1;TOKEN 8;ERRO;TOKEN 9;ERRO;TOKEN 10;ERRO;TOKEN 11;ERRO;TOKEN 12;ERRO;ERRO;ERRO;TOKEN 2
" ";ERRO;2-TOKEN 1;TOKEN 1;tk1;5-TOKEN 5;TOKEN 5;2-TOKEN 1;8-TOKEN 4;TOKEN 4;TOKEN 1;TOKEN 1;TOKEN 1;5-TOKEN 5;TOKEN 1;TOKEN 1;TOKEN 1;5-TOKEN 5;TOKEN 1;TOKEN 1;8-TOKEN4;TOKEN 1;26-TOKEN6;TOKEN 1;TOKEN 1;TOKEN 1;8-TOKEN4;TOKEN 6;TOKEN 1;TOKEN 1;TOKEN 1;TOKEN 1;26-TOKEN 6;TOKEN 1;TOKEN 1;26-TOKEN 6;TOKEN 1;TOKEN 1;TOKEN 1;TOKEN 1;8-TOKEN4;TOKEN 1;TOKEN 1;TOKEN 1;8-TOKEN 4;45-TOKEN 7;TOKEN 7;45-TOKEN 7;ERRO;ERRO;49-TOKEN 3;45-TOKEN 7;45-TOKEN 7;ERRO;45-TOKEN 7;;TOKEN 1;TOKEN 1;TOKEN 1;TOKEN 1;TOKEN 1;61-TOKEN 8;TOKEN 8;63-TOKEN 9;TOKEN 9;65-TOKEN 10;TOKEN 10;67 TOKEN 11;TOKEN 11;69-TOKEN11;TOKEN 12;73-TOKEN 2; 45-TOKEN 7;73-TOKEN 2;TOKEN 2
